variable,category,n,perc
Age,18 to 34,27,0.18620689655172415
Age,35 to 54,80,0.5517241379310345
Age,55 to 64,28,0.19310344827586207
Age,65 to 74,6,0.041379310344827586
Age,75 and older,4,0.027586206896551724
Branch,Army,61,0.4206896551724138
Branch,Air Force,33,0.22758620689655173
Branch,Navy,31,0.21379310344827587
Branch,Marines,12,0.08275862068965517
Branch,Multiple,6,0.041379310344827586
Branch,Coast Guard,1,0.006896551724137931
Branch,Public Health Service,1,0.006896551724137931
Education Level,Applied or professional doctorate,3,0.020689655172413793
Education Level,Associates degree,16,0.1103448275862069
Education Level,Bachelors degree,47,0.32413793103448274
Education Level,Doctorate,6,0.041379310344827586
Education Level,High school diploma or equivalent,7,0.04827586206896552
Education Level,Masters degree,29,0.2
Education Level,Some college,37,0.25517241379310346
Military Experiences,Combat Depoloyment,42,0.2896551724137931
Military Experiences,Non-combat Deployment,78,0.5379310344827586
Military Experiences,Peacekeeping or Humanitarian Deployment,30,0.20689655172413793
Military Experiences,Combat Support,45,0.3103448275862069
Military Experiences,Any of the above,109,0.7517241379310344
Military Experiences,None of the above,36,0.2482758620689655
Race/Ethnicity,White,105,0.7241379310344828
Race/Ethnicity,Black or African American,20,0.13793103448275862
Race/Ethnicity,Multiple,11,0.07586206896551724
Race/Ethnicity,Asian,5,0.034482758620689655
Race/Ethnicity,"Hispanic, Latino, or Spanish origin",3,0.020689655172413793
Race/Ethnicity,"Some other race, ethnicity, or origin",1,0.006896551724137931
Highest Paygrade Achieved,E-1 to E-3,23,0.15862068965517243
Highest Paygrade Achieved,E-4 to E-6,86,0.593103448275862
Highest Paygrade Achieved,E-7 to E-9,18,0.12413793103448276
Highest Paygrade Achieved,W-1 to CW-5,2,0.013793103448275862
Highest Paygrade Achieved,O-1 to O-3,8,0.05517241379310345
Highest Paygrade Achieved,O-4 to O-6,8,0.05517241379310345
Initial Service Era,Cold War (Post-Vietnam),32,0.2206896551724138
Initial Service Era,Persian Gulf,42,0.2896551724137931
Initial Service Era,Post 9-11,66,0.45517241379310347
Initial Service Era,Vietnam,5,0.034482758620689655
Gender,Male,98,0.6758620689655173
Gender,Female,46,0.31724137931034485
Gender,non-binary,1,0.006896551724137931
Years of Service,0 to 4,35,0.2413793103448276
Years of Service,5 to 9,64,0.4413793103448276
Years of Service,10 to 14,17,0.11724137931034483
Years of Service,15 to 20,4,0.027586206896551724
Years of Service,20 or more,25,0.1724137931034483
Years since Separation,0 to 9,54,0.3724137931034483
Years since Separation,10 to 19,39,0.2689655172413793
Years since Separation,20 to 29,24,0.16551724137931034
Years since Separation,30 to 39,19,0.1310344827586207
Years since Separation,40 to 50,8,0.05517241379310345
Years since Separation,50 or more,1,0.006896551724137931
