variable,category,n,perc
Military Status,Veteran,62,0.27927927927927926
Military Status,Service Member,67,0.30180180180180183
Military Status,Civilian,93,0.4189189189189189
Branch,Air Force,7,0.03153153153153153
Branch,Army,83,0.3738738738738739
Branch,Marine Corps,10,0.04504504504504504
Branch,Navy,13,0.05855855855855856
Branch,Never Served,93,0.4189189189189189
Branch,Other,16,0.07207207207207207
Highest Paygrade Achieved,E-1 to E-3,33,0.14864864864864866
Highest Paygrade Achieved,E-4 to E-6,27,0.12162162162162163
Highest Paygrade Achieved,E-7 to E-9,22,0.0990990990990991
Highest Paygrade Achieved,Never served,116,0.5225225225225225
Highest Paygrade Achieved,O-1 (WO-1) to O-3 (CW-2),13,0.05855855855855856
Highest Paygrade Achieved,O-4 (CWO-3) to O-6 (CW-5),11,0.04954954954954955
Years of Service,10-15 years,11,0.04954954954954955
Years of Service,15-20 years,9,0.04054054054054054
Years of Service,2-4 years,36,0.16216216216216217
Years of Service,20+ years,9,0.04054054054054054
Years of Service,5-10 years,31,0.13963963963963963
Years of Service,< 1 year,16,0.07207207207207207
Years of Service,NA,110,0.4954954954954955
Times Deployed,1,21,0.0945945945945946
Times Deployed,2,22,0.0990990990990991
Times Deployed,3,12,0.05405405405405406
Times Deployed,4,6,0.02702702702702703
Times Deployed,5 or more,5,0.02252252252252252
Times Deployed,Not applicable,154,0.6936936936936937
Times Deployed,NA,2,0.009009009009009009
MOS,"Combat Arms (i.e., Infantry, Armor, Field Artillery, Special Forces)",29,0.13063063063063063
MOS,"Combat Service Support (i.e, Quartermaster, Transportation, Finance)",11,0.04954954954954955
MOS,"Combat Support (i.e., Engineer, Military Police including Security Forces, Signal Corps)",29,0.13063063063063063
MOS,"Logistics & Maintenance (Maintenance, Fuels, Logistics, Transportation, Munitions)",7,0.03153153153153153
MOS,Medical - Other,15,0.06756756756756757
MOS,Not Applicable,119,0.536036036036036
MOS,"Operations (i.e., Aircrew, Cyber, Command & Control, Intel, Safety, Weather)",7,0.03153153153153153
MOS,"Support (Cyber Support, Engineering, Force Support, Public Affairs, Security Forces)",5,0.02252252252252252
Previous Deployment,No,67,0.30180180180180183
Previous Deployment,Yes,155,0.6981981981981982
