variable,category,n_2,perc_2,n_3,perc_3
Age,18 to 34,12,0.05263157894736842,27,0.18620689655172415
Age,35 to 54,61,0.2675438596491228,80,0.5517241379310345
Age,55 to 64,45,0.19736842105263158,28,0.19310344827586207
Age,65 to 74,52,0.22807017543859648,6,0.041379310344827586
Age,75 and older,58,0.2543859649122807,4,0.027586206896551724
Education Level,Applied or professional doctorate,4,0.017543859649122806,3,0.020689655172413793
Education Level,Associates degree,39,0.17105263157894737,16,0.1103448275862069
Education Level,Bachelors degree,55,0.2412280701754386,47,0.32413793103448274
Education Level,Doctorate,1,0.0043859649122807015,6,0.041379310344827586
Education Level,High school diploma or equivalent,34,0.14912280701754385,7,0.04827586206896552
Education Level,Masters degree,33,0.14473684210526316,29,0.2
Education Level,Some college,62,0.2719298245614035,37,0.25517241379310346
Gender,Male,164,0.7192982456140351,98,0.6758620689655173
Gender,Female,64,0.2807017543859649,46,0.31724137931034485
Gender,non-binary,NA,NA,1,0.006896551724137931
Race/Ethnicity,White,181,0.793859649122807,105,0.7241379310344828
Race/Ethnicity,Black or African American,23,0.10087719298245613,20,0.13793103448275862
Race/Ethnicity,Multiple,10,0.043859649122807015,11,0.07586206896551724
Race/Ethnicity,"Hispanic, Latino, or Spanish origin",8,0.03508771929824561,3,0.020689655172413793
Race/Ethnicity,"Some other race, ethnicity, or origin",3,0.013157894736842105,1,0.006896551724137931
Race/Ethnicity,Asian,2,0.008771929824561403,5,0.034482758620689655
Race/Ethnicity,American Indian or Alaska Native,1,0.0043859649122807015,NA,NA
Sexual Orientation,straight,209,0.9166666666666666,NA,NA
Sexual Orientation,bisexual,10,0.043859649122807015,NA,NA
Sexual Orientation,gay,7,0.03070175438596491,NA,NA
Sexual Orientation,other,2,0.008771929824561403,NA,NA
