variable,category,n_2,perc_2,n_3,perc_3
Branch,Army,108,0.47368421052631576,61,0.4206896551724138
Branch,Navy,56,0.24561403508771928,31,0.21379310344827587
Branch,Air Force,38,0.16666666666666666,33,0.22758620689655173
Branch,Marines,20,0.08771929824561403,12,0.08275862068965517
Branch,Multiple,4,0.017543859649122806,6,0.041379310344827586
Branch,Public Health Service,2,0.008771929824561403,1,0.006896551724137931
Branch,Coast Guard,NA,NA,1,0.006896551724137931
Highest Paygrade Achieved,E-1 to E-3,31,0.13596491228070176,23,0.15862068965517243
Highest Paygrade Achieved,E-4 to E-6,145,0.6359649122807017,86,0.593103448275862
Highest Paygrade Achieved,E-7 to E-9,25,0.10964912280701754,18,0.12413793103448276
Highest Paygrade Achieved,W-1 to CW-5,3,0.013157894736842105,2,0.013793103448275862
Highest Paygrade Achieved,O-1 to O-3,15,0.06578947368421052,8,0.05517241379310345
Highest Paygrade Achieved,O-4 to O-6,9,0.039473684210526314,8,0.05517241379310345
Initial Service Era,Cold War (Post-Vietnam),63,0.27631578947368424,32,0.2206896551724138
Initial Service Era,Cold War (Pre-Vietnam),15,0.06578947368421052,NA,NA
Initial Service Era,Korea,1,0.0043859649122807015,NA,NA
Initial Service Era,Persian Gulf,33,0.14473684210526316,42,0.2896551724137931
Initial Service Era,Post 9-11,41,0.17982456140350878,66,0.45517241379310347
Initial Service Era,Vietnam,75,0.32894736842105265,5,0.034482758620689655
Military Experiences,Combat Depoloyment,68,0.2982456140350877,42,0.2896551724137931
Military Experiences,Non-combat Deployment,113,0.4956140350877193,78,0.5379310344827586
Military Experiences,Peacekeeping or Humanitarian Deployment,35,0.15350877192982457,30,0.20689655172413793
Military Experiences,Combat Support,54,0.23684210526315788,45,0.3103448275862069
Military Experiences,Any of the above,158,0.6929824561403509,109,0.7517241379310344
Military Experiences,None of the above,70,0.30701754385964913,36,0.2482758620689655
Years of Service,0 to 4,89,0.39035087719298245,35,0.2413793103448276
Years of Service,5 to 9,84,0.3684210526315789,64,0.4413793103448276
Years of Service,10 to 14,16,0.07017543859649122,17,0.11724137931034483
Years of Service,15 to 20,3,0.013157894736842105,4,0.027586206896551724
Years of Service,20 or more,36,0.15789473684210525,25,0.1724137931034483
Years since Separation,0 to 9,26,0.11403508771929824,54,0.3724137931034483
Years since Separation,10 to 19,36,0.15789473684210525,39,0.2689655172413793
Years since Separation,20 to 29,38,0.16666666666666666,24,0.16551724137931034
Years since Separation,30 to 39,48,0.21052631578947367,19,0.1310344827586207
Years since Separation,40 to 50,34,0.14912280701754385,8,0.05517241379310345
Years since Separation,50 or more,46,0.20175438596491227,1,0.006896551724137931
