Parameter,ESS,ESS_tail,sample,model,prior,controls
b_Intercept,13608,11939,Sample 1,Hurdle,Weakly Informative,Controls
b_pcl_total,15973,12420,Sample 1,Hurdle,Weakly Informative,Controls
b_veteran,17122,13224,Sample 1,Hurdle,Weakly Informative,Controls
b_civilian,17377,12528,Sample 1,Hurdle,Weakly Informative,Controls
b_gender_female,20345,12044,Sample 1,Hurdle,Weakly Informative,Controls
b_born_79_84,12519,12337,Sample 1,Hurdle,Weakly Informative,Controls
b_born_85_89,13547,13303,Sample 1,Hurdle,Weakly Informative,Controls
b_born_90_95,12811,12295,Sample 1,Hurdle,Weakly Informative,Controls
b_born_96_01,13313,12373,Sample 1,Hurdle,Weakly Informative,Controls
b_trauma,15816,12564,Sample 1,Hurdle,Weakly Informative,Controls
b_Intercept,12506,12014,Sample 1,Hurdle,Improper,Controls
b_pcl_total,16906,11960,Sample 1,Hurdle,Improper,Controls
b_veteran,16930,11863,Sample 1,Hurdle,Improper,Controls
b_civilian,19474,12684,Sample 1,Hurdle,Improper,Controls
b_gender_female,23615,11842,Sample 1,Hurdle,Improper,Controls
b_born_79_84,11089,11701,Sample 1,Hurdle,Improper,Controls
b_born_85_89,12448,11528,Sample 1,Hurdle,Improper,Controls
b_born_90_95,11243,12527,Sample 1,Hurdle,Improper,Controls
b_born_96_01,11346,12608,Sample 1,Hurdle,Improper,Controls
b_trauma,16677,11955,Sample 1,Hurdle,Improper,Controls
b_Intercept,10158,11317,Sample 1,Hurdle,Vague,Controls
b_pcl_total,13826,11559,Sample 1,Hurdle,Vague,Controls
b_veteran,14631,11584,Sample 1,Hurdle,Vague,Controls
b_civilian,15865,12563,Sample 1,Hurdle,Vague,Controls
b_gender_female,19179,12880,Sample 1,Hurdle,Vague,Controls
b_born_79_84,8873,10953,Sample 1,Hurdle,Vague,Controls
b_born_85_89,10120,11337,Sample 1,Hurdle,Vague,Controls
b_born_90_95,9460,11986,Sample 1,Hurdle,Vague,Controls
b_born_96_01,9598,11058,Sample 1,Hurdle,Vague,Controls
b_trauma,13321,11610,Sample 1,Hurdle,Vague,Controls
b_Intercept,18213,11388,Sample 1,Hurdle,Weakly Informative,Bivariate
b_pcl_total,19060,11975,Sample 1,Hurdle,Weakly Informative,Bivariate
b_Intercept,14729,11106,Sample 1,Hurdle,Improper,Bivariate
b_pcl_total,13542,11436,Sample 1,Hurdle,Improper,Bivariate
b_Intercept,14729,11106,Sample 1,Hurdle,Vague,Bivariate
b_pcl_total,13542,11436,Sample 1,Hurdle,Vague,Bivariate
b_Intercept,21807,12967,Sample 2,Hurdle,Weakly Informative,Controls
b_mios_total,19113,12998,Sample 2,Hurdle,Weakly Informative,Controls
b_pc_ptsd_positive_screen,23793,13013,Sample 2,Hurdle,Weakly Informative,Controls
b_military_exp_combat,24627,13546,Sample 2,Hurdle,Weakly Informative,Controls
b_military_exp_noncombat,20339,14192,Sample 2,Hurdle,Weakly Informative,Controls
b_military_exp_support,22956,13589,Sample 2,Hurdle,Weakly Informative,Controls
b_military_exp_peacekeeping,22428,12627,Sample 2,Hurdle,Weakly Informative,Controls
b_sex_female,23630,13139,Sample 2,Hurdle,Weakly Informative,Controls
b_sexual_orientation_gay,19839,13642,Sample 2,Hurdle,Weakly Informative,Controls
b_sexual_orientation_bi,22780,13492,Sample 2,Hurdle,Weakly Informative,Controls
b_race_asian,18845,12951,Sample 2,Hurdle,Weakly Informative,Controls
b_race_black,21401,13845,Sample 2,Hurdle,Weakly Informative,Controls
b_race_latino,24378,12520,Sample 2,Hurdle,Weakly Informative,Controls
b_race_native,21002,13193,Sample 2,Hurdle,Weakly Informative,Controls
b_race_other,23957,13615,Sample 2,Hurdle,Weakly Informative,Controls
b_rank_e1_e3,22892,12609,Sample 2,Hurdle,Weakly Informative,Controls
