variable,mean,median,sd,mad,q5,q95,term
b_Intercept,50.334496550582514,50.19685874806189,1.2151598712175864,1.2143470383058532,36.69897479759836,69.49608916637047,Multiplicative
b_born_79_84,1.226654473754221,1.22581382456517,1.1543103530942742,1.152782616417557,0.9692006083086525,1.5546849070867703,Multiplicative
b_born_85_89,1.2855656600334378,1.2856515401699418,1.1588194494177058,1.1609535533375974,1.0090717629229944,1.6391316649097858,Multiplicative
b_born_90_95,1.3540349185225364,1.3509501706645963,1.194560799634279,1.193334948815991,1.0127971410136811,1.815896489716858,Multiplicative
b_born_96_01,1.2314115704723825,1.2300997208994415,1.2054122370830467,1.2026682478631616,0.9065316623654412,1.6821251840588534,Multiplicative
b_civilian,0.9736823228690635,0.9738430747885687,1.121298455616395,1.119140033960469,0.8042125826268841,1.1736143070379952,Multiplicative
b_gender_female,0.9329737782081573,0.933587035195962,1.1004449805280034,1.1005785678934084,0.7967808540915486,1.0914969672628823,Multiplicative
b_pcl_total,1.3473561246411865,1.347606397678455,1.065154184473716,1.0652996592318746,1.2144839681470347,1.4947141282557148,Multiplicative
b_trauma,0.8510505067292022,0.8510461428187872,1.172606175958384,1.1691530480900687,0.6552897947234267,1.1036568717269597,Multiplicative
b_veteran,0.997843650568738,0.9991716218297948,1.136268527275802,1.1362745097610443,0.8071482181203528,1.2279553707167625,Multiplicative
b_hu_Intercept,0.0681250601142021,0.06901430686558638,2.241343108297004,2.2143416719194375,0.017729285919056738,0.25343714890628083,Odds Ratio
b_hu_born_79_84,1.0258918164353419,1.0325920712491214,1.7866456989533874,1.781683291848448,0.39099297535584016,2.6265633902606442,Odds Ratio
b_hu_born_85_89,2.3816586293412847,2.3766321321491684,1.7719074283421679,1.7646633543219734,0.9305392022788477,6.106515799801413,Odds Ratio
b_hu_born_90_95,0.4329787859086425,0.43822587508077493,2.001823586640823,1.994073141276066,0.1350166486248966,1.3233183638303252,Odds Ratio
b_hu_born_96_01,0.6502693066181283,0.6561105683020143,2.0685096948259796,2.0550698090289323,0.19027811194047498,2.116131191843126,Odds Ratio
b_hu_civilian,1.0129606452078845,1.0094612015006956,1.7119882755221234,1.7065074386880497,0.4170015025301579,2.451046597516754,Odds Ratio
b_hu_gender_female,1.0826640165649437,1.0834391832328352,1.6170479048637705,1.6142373988804388,0.49277725818068396,2.3802204798853914,Odds Ratio
b_hu_pcl_total,0.3134459327571365,0.31570992368608974,1.4643191979187056,1.4584766081598335,0.16566439399297156,0.5775090746673213,Odds Ratio
b_hu_trauma,0.9160779769303009,0.9175555169010704,1.8500712961145647,1.8585291775416883,0.335158942316159,2.500955532876711,Odds Ratio
b_hu_veteran,0.7793898730037228,0.7879636536481753,1.8958733980313578,1.872359375650514,0.26772859415064715,2.1855521164450833,Odds Ratio
